Year,Network,Results,Average_Viewers,Game_1_Viewers,Game_2_Viewers,Game_3_Viewers,Game_4_Viewers,Game_5_Viewers,Game_6_Viewers,Game_7_Viewers
2024,ABC,Celtics 4-1,11310,10990,12310,11430,9620,11220,,
2023,ABC,Nuggets 4-1,11640,11580,11910,11240,10410,13080,,
2022,ABC,Warriors 4-2,12400,11900,11910,11520,12060,13030,13990,
2021,ABC,Bucks 4-2,9910,8560,9380,9020,10250,9550,12520,
2020,ABC,Lakers 4-2,7450,7410,6610,5940,7540,8890,8290,
2019,ABC,Raptors 4-2,15140,13510,14050,13440,13160,18340,,
2018,ABC,Warriors 4-0,18340,17560,17670,18470,17850,,,
2017,ABC,Warriors 4-1,20380,18700,19690,20050,19010,24470,,
2016,ABC,Cavaliers 4-3,20280,19200,17490,16470,16570,20530,20700,31020
2015,ABC,Warriors 4-2,19940,17770,19170,18770,19840,20860,23250,
2014,ABC,Spurs 4-1,15540,14850,15130,14780,14960,18000,,
2013,ABC,Heat 4-3,17470,14240,14570,14050,16230,16270,20640,26320
2012,ABC,Heat 4-1,16880,16200,16670,15550,17500,18460,,
2011,ABC,Mavericks 4-2,17390,15170,15520,15340,16129,18320,23880,
2010,ABC,Lakers 4-3,18140,14090,15720,15960,16370,18650,17960,28200
2009,ABC,Lakers 4-1,14350,13040,14060,14200,15960,14170,,
2008,ABC,Celtics 4-2,14940,13380,13500,14510,13760,16880,17390,
2007,ABC,Spurs 4-0,9290,9210,8550,9490,9910,,,
2006,ABC,Heat 4-2,12970,11510,12410,12250,11560,14320,15710,
2005,ABC,Spurs 4-3,12540,10570,10660,10630,10920,13090,13470,19000
2004,ABC,Pistons 4-1,17940,15360,16129,16210,20300,21840,,
2003,ABC,Spurs 4-2,9860,9600,8060,10760,9660,9310,11570,
2002,NBC,Lakers 4-0,15680,15850,14050,16210,16560,,,
2001,NBC,Lakers 4-1,19000,18580,18720,20280,19970,17360,,
2000,NBC,Lakers 4-2,17400,10560,10020,10840,13170,10040,14850,
1999,NBC,Spurs 4-1,16010,16570,13980,17010,16760,15530,,
1998,NBC,Bulls 4-2,29040,26700,26300,15800,18700,30600,35890,
1997,NBC,Bulls 4-2,25590,15300,14600,13700,16400,19500,17900,
1996,NBC,Bulls 4-2,24860,16100,13300,15200,17400,16500,18000,
1995,NBC,Rockets 4-0,20100,14000,11400,13400,14200,,,
1994,NBC,Rockets 4-3,17250,11900,10100,11700,12100,,10600,16900
1993,NBC,Bulls 4-2,27210,15600,13600,15800,18400,17700,32100,
1992,NBC,Bulls 4-2,20840,12400,12600,12500,14700,12800,13500,
1991,CBS,Bulls 4-1,23910,15000,14600,14200,18300,17190,,
1990,CBS,Pistons 4-1,21260,,,,,,,
1989,CBS,Pistons 4-0,21700,,,,,,,
1988,CBS,Lakers 4-3,24120,,,,,,,14430
1987,CBS,Lakers 4-2,11380,,,,,,,
